Player Name,Salary,Position,Age,Team,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Total Minutes,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SKILL
Evan Mobley,8478720,PF,21,CLE,79,79,34.4,6.6,12,0.554,0.3,1.3,0.216,6.4,10.7,0.595,0.566,2.6,3.8,0.674,2.4,6.6,9,2.8,0.8,1.5,1.8,2.8,16.2,2715,17.9,0.591,0.108,0.321,8.1,22.7,15.4,12.4,1.1,4,11.9,20.2,3.7,4.8,8.5,0.151,0,1.6,1.7,2.5,25.06
Tobias Harris,37633050,SF,30,PHI,74,74,32.9,5.7,11.4,0.501,1.7,4.4,0.389,4,7,0.57,0.575,1.5,1.7,0.876,0.9,4.8,5.7,2.5,0.9,0.5,1.2,2,14.7,2436,14.8,0.602,0.383,0.153,3.3,17,10.3,11.4,1.4,1.5,9,18.2,3.1,2.8,5.9,0.116,0.6,0.1,0.7,1.7,24.3
Jerami Grant,20955000,PF,28,POR,63,63,35.7,6.9,14.5,0.475,2.3,5.7,0.401,4.6,8.8,0.523,0.554,4.4,5.4,0.813,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,20.5,2246,16,0.606,0.393,0.375,2.7,11.9,7.2,10.3,1.1,2.1,9.8,22.8,3.1,1,4.1,0.087,1.2,-1.4,-0.2,1,24.25
Gordon Hayward,30075000,SF,32,CHO,50,50,31.5,5.5,11.6,0.475,1,3.2,0.325,4.5,8.4,0.532,0.52,2.6,3.2,0.811,0.7,3.6,4.3,4.1,0.8,0.2,2,1.4,14.7,1577,13.5,0.563,0.275,0.274,2.2,12.6,7.3,19.3,1.3,0.7,13.2,20,0.8,1.1,2,0.059,-1.1,-0.3,-1.4,0.2,24.1
John Wall,47345760,PG,32,LAC,34,3,22.2,4.1,9.9,0.408,1,3.2,0.303,3.1,6.7,0.459,0.457,2.3,3.3,0.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4,755,13.6,0.498,0.322,0.334,2.1,11.4,6.8,35.3,1.8,1.4,17.1,27,-0.4,0.7,0.3,0.02,-0.8,-0.4,-1.2,0.1,23.7
Mac McClung,160856,SG,24,PHI,2,0,20.5,4.5,10,0.45,2,5.5,0.364,2.5,4.5,0.556,0.55,1.5,2.5,0.6,1.5,3.5,5,4.5,0,0,1.5,1.5,12.5,41,19.2,0.563,0.55,0.25,8.8,19.8,14.4,35.3,0,0,11.9,27.5,0.1,0,0.1,0.14,2.2,-1.7,0.5,0,23.6
Jacob Gilyard,5849,PG,24,MEM,1,0,41,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,0,4,4,7,3,0,2,3,3,41,7.3,0.5,1,0,0,10.3,5.2,19.4,3.5,0,40,5.1,0,0.1,0.1,0.079,-7.8,1.7,-6.1,0,23.5
Brook Lopez,13906976,C,34,MIL,78,78,30.4,6.1,11.5,0.531,1.7,4.7,0.374,4.4,6.9,0.637,0.606,1.9,2.4,0.784,2,4.7,6.7,1.3,0.5,2.5,1.4,2.6,15.9,2373,18.4,0.63,0.405,0.211,7.2,15.3,11.4,6.1,0.7,6.7,9.8,19.3,4.1,3.9,8,0.161,0.8,1.3,2.1,2.5,23.48
Shaquille Harrison,134862,SG,29,POR,5,0,24,3,7.2,0.417,0.6,2,0.3,2.4,5.2,0.462,0.458,2.2,3,0.733,0.2,4.2,4.4,6,2.2,0.4,1.2,2.4,8.8,120,17.9,0.516,0.278,0.417,1,20.3,10.5,34.9,4.5,1.5,12.3,17.6,0.2,0.2,0.3,0.137,-2.5,2.6,0.1,0.1,23.26
Deandre Ayton,30913750,C,24,PHO,67,67,30.4,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,0.592,2.3,3,0.76,2.6,7.4,10,1.7,0.6,0.8,1.8,2.8,18,2035,19.9,0.617,0.027,0.225,9.2,27.5,18.1,9.2,0.9,2.3,11,22.9,3.3,3,6.2,0.147,0.9,0,0.9,1.5,23.18
